job_number,field,old_value,new_value,reason,edited_date,editor
100147789,bbl,,1004860005,Geocoding (add Lat/Long),8/13/19,
100147789,bin,,1007282,Geocoding (add Lat/Long),8/13/19,
100211147,bbl,,1017270045,Geocoding (add Lat/Long),8/13/19,
100211147,bin,,1083983,Geocoding (add Lat/Long),8/13/19,
100236479,bbl,,1012500059,Geocoding (add Lat/Long),8/13/19,
100236479,bin,,1034033,Geocoding (add Lat/Long),8/13/19,
100355376,bbl,,1005120020,Geocoding (add Lat/Long),8/13/19,
100355376,bin,,1007953,Geocoding (add Lat/Long),8/13/19,
100363562,bbl,,1011397503,Geocoding (add Lat/Long),8/13/19,
100363562,bin,,1084564,Geocoding (add Lat/Long),8/13/19,
100459914,bbl,,1004750053,Geocoding (add Lat/Long),8/13/19,
100459914,bin,,1007081,Geocoding (add Lat/Long),8/13/19,
100486564,bbl,,1012710012,Geocoding (add Lat/Long),8/13/19,
100486564,bin,,1034819,Geocoding (add Lat/Long),8/13/19,
100497945,bbl,,1010720136,Geocoding (add Lat/Long),8/13/19,
100497945,bin,,1026935,Geocoding (add Lat/Long),8/13/19,
100498720,bbl,,1005110015,Geocoding (add Lat/Long),8/13/19,
100498720,bin,,1007945,Geocoding (add Lat/Long),8/13/19,
100499934,bbl,,1008460012,Geocoding (add Lat/Long),8/13/19,
100499934,bin,,1016116,Geocoding (add Lat/Long),8/13/19,
100560297,bbl,,1012490127,Geocoding (add Lat/Long),8/13/19,
100560297,bin,,1033999,Geocoding (add Lat/Long),8/13/19,
100633174,bbl,,1017230056,Geocoding (add Lat/Long),8/13/19,
100633174,bin,,1053519,Geocoding (add Lat/Long),8/13/19,
100651091,bbl,,1018710107,Geocoding (add Lat/Long),8/13/19,
100651091,bin,,1056470,Geocoding (add Lat/Long),8/13/19,
100666067,bbl,,1017530004,Geocoding (add Lat/Long),8/13/19,
100666067,bin,,1054170,Geocoding (add Lat/Long),8/13/19,
100689532,bbl,,1004420021,Geocoding (add Lat/Long),8/13/19,
100689532,bin,,1006078,Geocoding (add Lat/Long),8/13/19,
100718458,bbl,,1011290016,Geocoding (add Lat/Long),8/13/19,
100718458,bin,,1028810,Geocoding (add Lat/Long),8/13/19,
100846916,bbl,,1013420012,Geocoding (add Lat/Long),8/13/19,
100846916,bin,,1080442,Geocoding (add Lat/Long),8/13/19,
101019318,bbl,,1011620040,Geocoding (add Lat/Long),8/13/19,
101019318,bin,,1030374,Geocoding (add Lat/Long),8/13/19,
101045833,bbl,,1008660064,Geocoding (add Lat/Long),8/13/19,
101045833,bin,,1017187,Geocoding (add Lat/Long),8/13/19,
101056170,bbl,,1019040018,Geocoding (add Lat/Long),8/13/19,
101056170,bin,,1057546,Geocoding (add Lat/Long),8/13/19,
101075275,bbl,,1011830120,Geocoding (add Lat/Long),8/13/19,
101075275,bin,,1030976,Geocoding (add Lat/Long),8/13/19,
101291870,bbl,,1008900025,Geocoding (add Lat/Long),8/13/19,
101291870,bin,,1087628,Geocoding (add Lat/Long),8/13/19,
101311849,bbl,,1005627501,Geocoding (add Lat/Long),8/13/19,
101311849,bin,,1009119,Geocoding (add Lat/Long),8/13/19,
101365292,bbl,,1001907504,Geocoding (add Lat/Long),8/13/19,
101365292,bin,,1002167,Geocoding (add Lat/Long),8/13/19,
101397846,bbl,,1014270016,Geocoding (add Lat/Long),8/13/19,
101397846,bin,,1043970,Geocoding (add Lat/Long),8/13/19,
101412008,bbl,,1007350057,Geocoding (add Lat/Long),8/13/19,
101412008,bin,,1012978,Geocoding (add Lat/Long),8/13/19,
101443742,bbl,,1018400052,Geocoding (add Lat/Long),8/13/19,
101443742,bin,,1055502,Geocoding (add Lat/Long),8/13/19,
101451395,bbl,,1013630037,Geocoding (add Lat/Long),8/13/19,
101451395,bin,,1040143,Geocoding (add Lat/Long),8/13/19,
101482726,bbl,,1014070043,Geocoding (add Lat/Long),8/13/19,
101482726,bin,,1042853,Geocoding (add Lat/Long),8/13/19,
101517208,bbl,,1012460043,Geocoding (add Lat/Long),8/13/19,
101517208,bin,,1033864,Geocoding (add Lat/Long),8/13/19,
101518528,bbl,,1012710017,Geocoding (add Lat/Long),8/13/19,
101518528,bin,,1034821,Geocoding (add Lat/Long),8/13/19,
101551152,bbl,,1008260016,Geocoding (add Lat/Long),8/13/19,
101551152,bin,,1015594,Geocoding (add Lat/Long),8/13/19,
101573744,bbl,,1012500091,Geocoding (add Lat/Long),8/13/19,
